Id,Timestamp,market-price
159,2021-11-27 23:00:00,54801.15
160,2021-11-26 23:00:00,53588.21
161,2021-11-25 23:00:00,58935.45
162,2021-11-24 23:00:00,57187.54
163,2021-11-23 23:00:00,57578.22
164,2021-11-22 23:00:00,56301.52
165,2021-11-21 23:00:00,58755.9
166,2021-11-20 23:00:00,59777.98
167,2021-11-19 23:00:00,58133.02
168,2021-11-18 23:00:00,56921.34
169,2021-11-17 23:00:00,60381.35
170,2021-11-16 23:00:00,60172.26
171,2021-11-15 23:00:00,63584.25
172,2021-11-14 23:00:00,65468.75
173,2021-11-13 23:00:00,64420.94
174,2021-11-12 23:00:00,64254.67
175,2021-11-11 23:00:00,64838.81
176,2021-11-10 23:00:00,64976.73
177,2021-11-09 23:00:00,66954.11
178,2021-11-08 23:00:00,67562.17
179,2021-11-07 23:00:00,63293.22
180,2021-11-07 0:00:00,61516.31
